@log,@timestamp,@message
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 07:30:40.859,"END RequestId: c0931a68-9c96-4870-a062-2d70ba627f58
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 07:30:40.859,"REPORT RequestId: c0931a68-9c96-4870-a062-2d70ba627f58	Duration: 2290.32 ms	Billed Duration: 2300 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	Init Duration: 282.24 ms	
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 07:30:40.838,"Stopped Instance ID ['i-0eb9a408ec2b491c8']
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 07:30:38.568,"START RequestId: c0931a68-9c96-4870-a062-2d70ba627f58 Version: $LATEST
"
799687528413:cms-annual-cost-predictions,2020-03-11 07:30:37.352,Predictions processed in 0:31:09.332210
799687528413:/aws/lambda/sparkml-cms,2020-03-11 07:04:29.661,"REPORT RequestId: 71a76e7a-7786-444a-bcc6-167187b156ca	Duration: 423941.84 ms	Billed Duration: 424000 ms	Memory Size: 128 MB	Max Memory Used: 112 MB	Init Duration: 632.95 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 07:04:29.642,"END RequestId: 71a76e7a-7786-444a-bcc6-167187b156ca
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 06:59:19.501,"Executing sudo service docker start &&
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 06:59:19.501,"        sudo docker run -it ff572cbb6282 python3 /model/pyspark_model.py /bin/bash
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 06:59:19.452,"Connected to 18.234.139.184
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 06:58:58.222,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 06:57:27.802,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 06:57:25.700,"START RequestId: 71a76e7a-7786-444a-bcc6-167187b156ca Version: $LATEST
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 06:47:23.478,"END RequestId: 7892f25e-513b-4bcf-8753-2b19eaf6cef8
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 06:47:23.478,"REPORT RequestId: 7892f25e-513b-4bcf-8753-2b19eaf6cef8	Duration: 2117.74 ms	Billed Duration: 2200 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	Init Duration: 265.55 ms	
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 06:47:23.438,"Stopped Instance ID ['i-0eb9a408ec2b491c8']
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 06:47:21.341,"START RequestId: 7892f25e-513b-4bcf-8753-2b19eaf6cef8 Version: $LATEST
"
799687528413:cms-annual-cost-predictions,2020-03-11 06:47:19.258,Predictions processed in 0:31:00.285525
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 04:44:49.685,"END RequestId: 1ea04def-4591-4a69-a3b7-cdbfb24d0590
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 04:44:49.685,"REPORT RequestId: 1ea04def-4591-4a69-a3b7-cdbfb24d0590	Duration: 2069.56 ms	Billed Duration: 2100 ms	Memory Size: 128 MB	Max Memory Used: 87 MB	Init Duration: 269.51 ms	
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 04:44:49.645,"Stopped Instance ID ['i-0eb9a408ec2b491c8']
"
799687528413:/aws/lambda/end-sparkml-ec2,2020-03-11 04:44:47.596,"START RequestId: 1ea04def-4591-4a69-a3b7-cdbfb24d0590 Version: $LATEST
"
799687528413:cms-annual-cost-predictions,2020-03-11 04:44:45.707,Predictions processed in 0:29:42.858584
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:16:25.263,"END RequestId: 59f3ba7b-0b31-44c9-8947-b4a8ac5d3e5c
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:16:25.263,"REPORT RequestId: 59f3ba7b-0b31-44c9-8947-b4a8ac5d3e5c	Duration: 103545.75 ms	Billed Duration: 103600 ms	Memory Size: 128 MB	Max Memory Used: 97 MB	Init Duration: 525.13 ms	
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:14:55.074,"Connected to 3.91.53.15
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:14:43.965,"Downloading key
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:14:43.602,"Connecting to ec2 instance
"
799687528413:/aws/lambda/sparkml-cms,2020-03-11 04:14:41.697,"START RequestId: 59f3ba7b-0b31-44c9-8947-b4a8ac5d3e5c Version: $LATEST
"
